ID;product_ID;store_ID;supplier_ID;orderQuantity;status;createdAt;deliveredAt;note
b0000000-0000-0000-0000-000000000001;102;2;202;10;Teslim Edildi;2026-06-05T09:00:00Z;2026-06-11T14:00:00Z;Geçmiş sipariş
b0000000-0000-0000-0000-000000000002;102;2;202;8;Teslim Edildi;2026-06-20T10:00:00Z;2026-06-27T11:00:00Z;Geçmiş sipariş
b0000000-0000-0000-0000-000000000003;102;1;202;12;Teslim Edildi;2026-07-02T09:30:00Z;2026-07-07T16:00:00Z;Geçmiş sipariş
b0000000-0000-0000-0000-000000000004;102;1;203;10;Teslim Edildi;2026-06-10T09:00:00Z;2026-06-14T10:00:00Z;Geçmiş sipariş
b0000000-0000-0000-0000-000000000005;102;2;203;6;Teslim Edildi;2026-07-05T09:00:00Z;2026-07-08T12:00:00Z;Geçmiş sipariş
b0000000-0000-0000-0000-000000000006;101;1;201;5;Teslim Edildi;2026-06-15T09:00:00Z;2026-06-20T13:00:00Z;Geçmiş sipariş
b0000000-0000-0000-0000-000000000007;101;1;201;8;Teslim Edildi;2026-07-01T09:00:00Z;2026-07-07T10:00:00Z;Geçmiş sipariş
b0000000-0000-0000-0000-000000000008;103;3;204;10;Teslim Edildi;2026-06-18T09:00:00Z;2026-06-22T14:00:00Z;Geçmiş sipariş
b0000000-0000-0000-0000-000000000009;103;4;204;15;Teslim Edildi;2026-07-03T09:00:00Z;2026-07-08T11:00:00Z;Geçmiş sipariş
b0000000-0000-0000-0000-000000000010;104;3;201;5;Teslim Edildi;2026-06-25T09:00:00Z;2026-07-01T10:00:00Z;Geçmiş sipariş
b0000000-0000-0000-0000-000000000011;105;4;203;20;Teslim Edildi;2026-07-01T09:00:00Z;2026-07-06T14:00:00Z;Geçmiş sipariş
b0000000-0000-0000-0000-000000000012;106;5;205;25;Teslim Edildi;2026-06-20T09:00:00Z;2026-06-28T10:00:00Z;Geçmiş sipariş
b0000000-0000-0000-0000-000000000013;107;4;205;40;Teslim Edildi;2026-07-05T09:00:00Z;2026-07-13T11:00:00Z;Geçmiş sipariş
b0000000-0000-0000-0000-000000000014;108;1;206;50;Teslim Edildi;2026-06-28T09:00:00Z;2026-06-30T14:00:00Z;Geçmiş sipariş
b0000000-0000-0000-0000-000000000015;102;4;202;8;Onaylandı;2026-07-20T09:00:00Z;;Aktif sipariş
b0000000-0000-0000-0000-000000000016;104;2;201;6;Onaylandı;2026-07-21T09:00:00Z;;Aktif sipariş
b0000000-0000-0000-0000-000000000017;103;3;204;12;Taslak;2026-07-22T09:00:00Z;;Yeni oluşturuldu
b0000000-0000-0000-0000-000000000018;105;4;203;15;Taslak;2026-07-23T09:00:00Z;;Yeni oluşturuldu
b0000000-0000-0000-0000-000000000019;101;3;201;5;Taslak;2026-07-24T09:00:00Z;;Yeni oluşturuldu
